0 	 Reward:  -0.001 	 Win Rate:  0.0 	 Completion:  0 	 Efficiency:  0 	 Duration:  0 	 Loss:  0 	 LR:  [1e-05] 	 Epsilon:  0.95
43000 	 Reward:  1.652 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.677424967288971 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
43500 	 Reward:  1.404 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6742192506790161 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
44000 	 Reward:  1.42 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6785835027694702 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
44500 	 Reward:  1.264 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6803726553916931 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
45000 	 Reward:  1.308 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6721163392066956 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
45500 	 Reward:  1.384 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6743784546852112 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
46000 	 Reward:  1.607 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6690645813941956 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
46500 	 Reward:  1.377 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6638956665992737 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
47000 	 Reward:  1.386 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6660118103027344 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
47500 	 Reward:  1.464 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.661191463470459 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
48000 	 Reward:  1.348 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.678581714630127 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
48500 	 Reward:  1.527 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6809884905815125 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
49000 	 Reward:  1.389 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6904710531234741 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
49500 	 Reward:  1.556 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6773088574409485 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
50000 	 Reward:  1.444 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6729223132133484 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
50500 	 Reward:  1.523 	 Win Rate:  0.2 	 Completion:  51 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6700849533081055 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
51000 	 Reward:  1.369 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6832442283630371 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
51500 	 Reward:  1.513 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6674572825431824 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
52000 	 Reward:  1.426 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6609072685241699 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
52500 	 Reward:  1.494 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6657592058181763 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
53000 	 Reward:  1.385 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6544541120529175 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
53500 	 Reward:  1.474 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6718727946281433 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
54000 	 Reward:  1.377 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6582089066505432 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
54500 	 Reward:  1.485 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6828113794326782 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
55000 	 Reward:  1.462 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6806843280792236 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
